donor_id,roi,batch,source_path
115,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM035_Xenium_nPODBatch1/output-XETG00298__0041117__PanT__20240919__203848
6591,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM035_Xenium_nPODBatch1/output-XETG00298__0041116__Region_1__20240919__203848
,,,
112,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM036_Xenium_nPODBatch2/output-XETG00298__0041396__Pancreas__20241019__205206
6533,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM036_Xenium_nPODBatch2/output-XETG00298__0041393__Pancreas__20241019__205207
,,,
6580,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM037_Xenium_nPODBatch3/output-XETG00298__0041139__Panc__20241025__204655
6347,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM037_Xenium_nPODBatch3/output-XETG00298__0041140__Panc_pLN__20241025__204655
,,,
6457,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM038_Xenium_nPodBatch4/output-XETG00298__0037637__6457_Pan__20241121__213623
6476,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM038_Xenium_nPodBatch4/output-XETG00298__0037634__6476_Pan__20241121__213622
,,,
6380,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM039_Xenium_nPODBatch5/output-XETG00298__0037502__6380_Pan__20241127__193857
6523,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM039_Xenium_nPODBatch5/output-XETG00298__0037499__6523_Pan__20241127__193857
,,,
6579,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM040_Xenium_nPODBatch6/output-XETG00298__0041035__Pan__20241219__201934
6374,panc,6KTRAF,/orange/brusko/xenium/HuPrime5kPanTissue/6KTRAF/MM040_Xenium_nPODBatch6/output-XETG00298__0041032__Pan__20241219__201934
,,,
6566,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM041_Xenium_nPODBatch7_ReRun/output-XETG00298__0059968__Panc__20250417__164439
6461,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM041_Xenium_nPODBatch7_ReRun/output-XETG00298__0059847__Panc__20250417__164438
,,,
6493,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM042_Xenium_nPODBatch8/output-XETG00298__0037191__Panc__20250221__194233
6521,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM042_Xenium_nPODBatch8/output-XETG00298__0037199__Panc__20250221__194233
,,,
6551,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM043_Xenium_nPODBatch9/output-XETG00298__0037376__Panc__20250307__145542
6482,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM043_Xenium_nPODBatch9/output-XETG00298__0037354__Panc__20250307__145542
,,,
6539,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM044_Xenium_nPODBatch10/output-XETG00298__0059865__Panc__20250328__202338
6436,panc,Y9QRJ6,/orange/brusko/xenium/HuPrime5kPanTissue/Y9QRJ6/MM044_Xenium_nPODBatch10/output-XETG00298__0059907__Panc__20250328__202338
,,,
